Season,1,2,3,4,5,6,7,8,9,10
2003s,241 221 207,182 202 218,123 147 68,49 61 100,236 112 123,169 128 106,187 141 158,221 209 97,127 205 205,NA NA NA
2003f,214 158 60,133 59 117,49 93 120,153 69 65,139 100 90,192 136 157,148 53 67,132 109 61,132 132 135,NA NA NA
2004s,225 93 68,224 73 81,222 82 133,241 155 35,225 185 186,167 158 139,187 160 206,162 176 109,124 158 217,99 101 158
2004f,162 176 168,198 164 164,173 129 102,94 71 60,154 131 84,201 169 105,114 74 118,174 14 54,44 69 120,215 95 141
2005s,244 223 91,85 170 89,244 81 44,251 164 129,154 138 104,74 95 139,233 154 190,155 157 199,83 176 174,138 152 146
2005f,213 178 110,99 56 94,119 53 61,199 98 43,163 53 70,145 85 43,15 78 103,156 156 83,106 104 85,163 152 144
2006s,240 225 165,223 207 190,161 221 221,220 170 187,198 212 153,172 192 217,168 147 192,247 135 102,133 94 83,59 75 135
2006f,171 160 146,192 178 144,174 134 87,202 122 66,174 84 89,132 132 135,125 125 109,65 89 126,105 59 113,96 55 61
2007s,233 212 202,164 178 121,164 158 157,224 170 90,133 59 117,223 211 79,130 151 206,196 149 128,231 139 144,138 186 211
2007f,86 66 53,180 78 61,155 35 53,57 84 96,113 146 115,138 130 158,134 124 74,204 160 29,207 134 163,140 53 115
2008s,173 151 66,188 108 167,191 56 74,234 194 214,191 165 126,246 195 36,255 164 128,204 217 122,3 79 132,198 191 184
2008f,91 94 166,117 76 144,0 117 96,47 130 156,185 58 62,115 98 83,162 105 103,49 61 100,199 98 43,216 172 89
2009s,179 58 127,255 136 148,50 103 173,125 207 182,232 193 63,157 170 74,178 164 212,85 170 89,138 152 146,207 180 168
2009f,163 53 70,67 47 78,204 147 80,110 96 93,198 93 82,177 159 135,205 101 127,199 182 60,39 67 87,219 205 179
2010s,69 184 172,195 55 77,255 130 114,192 129 186,192 153 133,244 223 91,70 95 173,241 221 207,132 127 93,174 168 143
2010f,216 211 125,222 158 54,250 114 104,179 26 56,173 77 140,97 46 53,77 158 154,123 127 50,203 193 174,207 180 168
2011s,214 80 118,242 114 69,126 177 129,238 169 74,233 212 202,143 95 80,72 122 183,42 189 199,178 164 212,186 179 173
2011f,214 180 80,228 102 92,214 80 118,113 56 103,147 144 99,23 73 80,106 85 66,184 159 134,206 196 215,154 165 170
2012s,226 73 47,248 199 71,208 51 119,150 106 168,54 65 116,231 184 211,189 205 148,137 127 122,90 208 186,182 159 123
2012f,88 66 63,213 161 73,211 80 122,226 73 47,0 107 84,181 191 80,46 84 147,136 134 136,159 134 170,211 180 173
2013s,0 152 116,155 194 172,125 161 191,185 209 70,248 223 95,178 132 190,240 216 195,52 76 128,220 52 59,255 136 86
2013f,196 191 113,0 152 116,0 91 136,70 41 90,168 43 56,210 92 63,103 107 87,169 42 92,86 66 53,81 88 96
2014s,141 174 215,155 144 200,151 193 161,159 156 153,205 170 127,246 195 36,224 73 81,232 115 61,173 94 153,46 77 167
2014f,196 159 186,157 49 88,185 58 62,219 185 96,136 97 89,82 91 65,63 68 140,53 94 145,165 147 161,156 150 136
2015s,157 198 216,0 178 202,125 207 182,29 78 137,210 178 154,227 134 143,247 146 86,234 217 139,150 79 76,198 203 204
2015f,132 127 93,163 172 153,88 100 109,0 119 132,207 134 163,145 100 171,208 157 93,245 146 108,150 79 76,50 51 74
2016s,247 202 201,247 120 107,145 168 208,3 79 132,251 227 55,152 221 222,152 150 164,220 68 58,177 143 106,113 204 81
2016f,131 132 135,146 182 213,76 106 146,183 107 163,0 110 81,216 174 71,175 148 131,173 93 93,185 58 50,158 70 36
